Province,Age,Gender,Education,Employment,Income_Group,Weight,Rel_Satisfaction,Online_Contact_Freq,SM_Interfere_Rel,SM_Interfere_Life,SM_Anxious_Envious,SM_AI_Chatbot,SM_AI_Email,Household_Type,Online_Shopping
New Brunswick,35–44 years,Male,University degree,Employed,"$42,257 – $72,366",588.396672561,Somewhat satisfied,A few times a week,Yes,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,35–44 years,Male,,,"≥ $163,751",1410.759588443,Somewhat satisfied,Everyday,No,No,No,,,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",2545.468703088,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,65 years and over,Male,University degree,Not employed,"≤ $42,256",2858.657865003,Somewhat satisfied,Everyday,No,Yes,No,Yes,No,Single-person household,Online shopper (≥ $1)
Nova Scotia,35–44 years,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",697.110444341,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,25–34 years,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",1917.276692132,Neutral,2–3 times a month,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,55–64 years,Female,High school or less,Employed,"$42,257 – $72,366",636.399629334,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",422.204764589,Completely satisfied,Not in the past month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$107,481 – $163,750",802.768501866,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Newfoundland and Labrador,55–64 years,Male,University degree,Employed,"≥ $163,751",223.64315351,Somewhat dissatisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Prince Edward Island,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",97.136001142,Neutral,Not in the past month,No,No,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
British Columbia,15–24 years,Female,University degree,Employed,"≥ $163,751",1342.301027275,Somewhat dissatisfied,A few times a week,Yes,Yes,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,University degree,Employed,"$107,481 – $163,750",293.421283016,Somewhat satisfied,Once a week,No,Yes,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,25–34 years,Male,University degree,Not employed,"$42,257 – $72,366",701.656322513,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Newfoundland and Labrador,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",271.701232838,,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,15–24 years,Female,High school or less,Not employed,"$42,257 – $72,366",4169.374722748,Completely satisfied,Everyday,No,Yes,No,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",4048.685801359,Neutral,2–3 times a month,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,65 years and over,Male,High school or less,Employed,"$72,367 – $107,480",1861.045989381,Completely satisfied,2–3 times a month,No,No,No,No,No,Family without children <18,Did not shop online
Newfoundland and Labrador,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",222.342280714,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,25–34 years,Male,High school or less,Employed,"$72,367 – $107,480",1354.997856962,Somewhat satisfied,Everyday,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"≤ $42,256",2035.717599542,,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Quebec,65 years and over,Male,University degree,Employed,"$42,257 – $72,366",716.52207702,Completely satisfied,Not in the past month,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",915.149212362,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"≤ $42,256",1577.630119625,Completely satisfied,A few times a week,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Female,High school or less,Not employed,"$72,367 – $107,480",1180.140420644,Somewhat satisfied,A few times a week,No,Yes,Yes,No,No,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,45–54 years,Female,University degree,Employed,"$107,481 – $163,750",118.16472662,Somewhat satisfied,Everyday,Yes,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,35–44 years,Male,High school or less,Employed,"$107,481 – $163,750",1049.459070297,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Did not shop online
British Columbia,55–64 years,Female,University degree,Not employed,"≥ $163,751",848.155192756,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Male,,,"≥ $163,751",980.940360022,Completely satisfied,Everyday,No,No,No,,,Family without children <18,
Manitoba,45–54 years,Female,,,"$42,257 – $72,366",667.049766383,,,,,,,,Single-person household,
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",1882.697795003,Somewhat satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Female,University degree,Not employed,"≥ $163,751",686.494919178,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1524.401866347,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Male,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",575.874110807,Completely satisfied,,No,No,No,Yes,Yes,Family with children <18,Did not shop online
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1073.435697758,,,,,,,,Family without children <18,
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",572.807508594,Neutral,Everyday,No,No,No,Yes,Yes,Family without children <18,Did not shop online
Quebec,65 years and over,Female,University degree,Not employed,"$107,481 – $163,750",572.807508594,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
New Brunswick,35–44 years,Female,University degree,Employed,"≥ $163,751",522.042097222,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"$107,481 – $163,750",1383.432116849,Completely satisfied,A few times a week,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Manitoba,65 years and over,Female,University degree,Not employed,"$42,257 – $72,366",524.683399107,,,,,,,,Single-person household,
Ontario,55–64 years,Male,High school or less,Employed,"$72,367 – $107,480",2123.094632269,,,,,,,,Single-person household,
Quebec,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",1669.003361567,Completely satisfied,A few times a week,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1206.778168751,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,25–34 years,Male,University degree,Employed,"≥ $163,751",1517.520461746,Somewhat satisfied,Not in the past month,Yes,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",246.668083199,Somewhat satisfied,,No,No,No,No,No,Single-person household,Did not shop online
British Columbia,55–64 years,Male,University degree,Employed,"$72,367 – $107,480",1667.473869196,Somewhat satisfied,Everyday,Yes,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",771.036901654,Neutral,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Male,University degree,Not employed,"$72,367 – $107,480",1051.331284486,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Female,High school or less,Not employed,"≤ $42,256",1433.485616567,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Did not shop online
Quebec,25–34 years,Female,University degree,Not employed,"$107,481 – $163,750",835.362489084,Completely satisfied,Everyday,No,Yes,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1594.891463243,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
New Brunswick,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",566.173443496,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Manitoba,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",667.049766383,Somewhat satisfied,Everyday,No,No,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Newfoundland and Labrador,65 years and over,Male,University degree,Not employed,"$42,257 – $72,366",486.351255282,Completely satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,High school or less,Not employed,"≤ $42,256",2344.147163629,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
New Brunswick,65 years and over,Male,High school or less,Not employed,"$107,481 – $163,750",1116.709300119,Somewhat satisfied,,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",595.986548424,Completely satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Did not shop online
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",594.582045002,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,,,"$42,257 – $72,366",2278.182820306,,,,,,,,Single-person household,
Saskatchewan,55–64 years,Female,High school or less,Not employed,"$72,367 – $107,480",382.626048258,Somewhat satisfied,Everyday,Yes,Yes,Yes,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1413.297916578,Completely satisfied,Everyday,Yes,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Quebec,25–34 years,Female,University degree,Employed,"$42,257 – $72,366",1176.801673748,Neutral,Everyday,No,No,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Male,University degree,Not employed,"$107,481 – $163,750",648.426034571,Completely satisfied,Everyday,Yes,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",89.529719413,Somewhat satisfied,A few times a week,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,,,"≤ $42,256",841.313726502,,,,,,,,Single-person household,
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1083.542252279,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,15–24 years,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",8648.225573962,Completely satisfied,,No,No,No,No,No,,Online shopper (≥ $1)
Saskatchewan,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",759.560722786,Somewhat satisfied,Everyday,Yes,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Saskatchewan,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",442.009258087,Completely satisfied,A few times a week,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
New Brunswick,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",427.78754548,Neutral,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,55–64 years,Male,University degree,Employed,"≥ $163,751",761.889682525,Neutral,Not in the past month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Female,University degree,Not employed,"$107,481 – $163,750",591.931663733,Completely satisfied,Once a month,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,55–64 years,Male,High school or less,Employed,"$72,367 – $107,480",480.835531796,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Female,University degree,Employed,"≥ $163,751",1242.234873418,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,University degree,Employed,"≥ $163,751",1403.559732568,Completely satisfied,A few times a week,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",1147.260774411,,,,,,,,Family with children <18,
British Columbia,35–44 years,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1148.617776557,Completely satisfied,,No,No,No,No,No,Family with children <18,Did not shop online
Ontario,35–44 years,Male,University degree,Employed,"≤ $42,256",1410.759588443,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Nova Scotia,65 years and over,Male,University degree,Employed,"≥ $163,751",245.063624513,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,55–64 years,Male,High school or less,Employed,"≤ $42,256",1335.473512161,Somewhat satisfied,A few times a week,No,Yes,No,No,No,Single-person household,Did not shop online
Ontario,55–64 years,Female,High school or less,Not employed,"$42,257 – $72,366",2194.338186578,Completely satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
British Columbia,55–64 years,Male,University degree,Employed,"$42,257 – $72,366",774.299768288,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Alberta,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",750.641046025,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,55–64 years,Female,University degree,Employed,"$42,257 – $72,366",993.889079031,Somewhat satisfied,A few times a week,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,65 years and over,Female,University degree,Not employed,"$72,367 – $107,480",368.633564878,Completely satisfied,2–3 times a month,No,No,No,No,Yes,Family without children <18,Did not shop online
Ontario,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",1441.74468104,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",1157.119650352,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,25–34 years,Female,University degree,Employed,"≥ $163,751",5029.055069918,Neutral,A few times a week,Yes,Yes,Yes,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Male,University degree,Not employed,"≤ $42,256",1051.331284486,,,,,,,,,
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",1624.743243832,Completely satisfied,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1332.876296166,Neutral,A few times a week,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,15–24 years,Female,University degree,Employed,"≥ $163,751",11881.422588278,Completely satisfied,A few times a week,No,No,Yes,No,No,Family without children <18,Did not shop online
Quebec,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",1322.300561181,,,,,,,,Family without children <18,
Ontario,35–44 years,Male,University degree,Employed,"$107,481 – $163,750",1251.020056324,Neutral,Everyday,No,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",2414.11618858,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Ontario,35–44 years,Male,University degree,Employed,"$107,481 – $163,750",2271.033150959,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,,Online shopper (≥ $1)
Manitoba,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",269.843744575,Neutral,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",1969.83551495,,,,,,,,Single-person household,
Nova Scotia,65 years and over,Female,High school or less,Not employed,"≤ $42,256",320.284108304,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
Ontario,15–24 years,Female,,,"$42,257 – $72,366",5371.827923106,,,,,,,,Family without children <18,
Quebec,65 years and over,Male,High school or less,Not employed,"≤ $42,256",1179.905045446,,,,,,,,Family without children <18,
Saskatchewan,45–54 years,Female,High school or less,Employed,"≥ $163,751",677.711288377,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",2871.598937503,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",717.764971984,Neutral,Everyday,No,Yes,Yes,No,No,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Male,University degree,Not employed,"$72,367 – $107,480",559.651047452,Completely satisfied,Once a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1432.807199096,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",197.298040065,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",175.256977905,Somewhat satisfied,,No,Yes,Yes,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Male,University degree,Employed,"$72,367 – $107,480",762.357914043,Completely satisfied,Everyday,Yes,Yes,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",575.087547574,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,15–24 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",1511.041146044,Neutral,A few times a week,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,High school or less,Not employed,"≤ $42,256",943.248632715,Completely satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,University degree,Not employed,"≥ $163,751",656.638470377,Neutral,Everyday,No,Yes,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,35–44 years,Male,University degree,Employed,"≥ $163,751",140.541119604,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",765.571248162,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
Quebec,65 years and over,Female,High school or less,Not employed,"≤ $42,256",841.313726502,,,,,,,,Single-person household,
Quebec,45–54 years,Male,High school or less,Employed,"≥ $163,751",762.357914043,Completely satisfied,2–3 times a month,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,55–64 years,Female,,,"≥ $163,751",339.897652015,,Once a week,No,No,No,,,Family without children <18,
Quebec,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",972.468878409,Completely satisfied,A few times a week,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
New Brunswick,55–64 years,Male,University degree,Employed,"$107,481 – $163,750",306.101448598,Completely satisfied,Everyday,No,No,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
Manitoba,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",635.265317944,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,,,"≤ $42,256",693.597877475,Neutral,Everyday,No,Yes,No,,,Single-person household,
Ontario,45–54 years,Female,University degree,Employed,"≤ $42,256",991.684439356,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,35–44 years,Female,High school or less,Employed,"$107,481 – $163,750",412.358058738,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"≥ $163,751",3489.406289177,Somewhat satisfied,Once a month,Yes,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1630.569812185,Somewhat satisfied,A few times a week,No,Yes,Yes,Yes,No,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Male,,,"≤ $42,256",1109.659165693,Completely dissatisfied,Not in the past month,No,No,No,,,Single-person household,
British Columbia,35–44 years,Female,University degree,Employed,"$42,257 – $72,366",2719.731730751,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Female,University degree,Employed,"$72,367 – $107,480",922.265782067,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Newfoundland and Labrador,45–54 years,Female,University degree,Employed,"$107,481 – $163,750",187.969912321,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Alberta,45–54 years,Male,,,"$42,257 – $72,366",2007.105118349,Neutral,,No,No,Yes,,,Family without children <18,
Alberta,65 years and over,Male,High school or less,Not employed,"≤ $42,256",1455.930972221,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Did not shop online
Ontario,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",2477.931494005,Neutral,A few times a week,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",1370.831566051,Completely satisfied,Everyday,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Quebec,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1901.053773754,Somewhat dissatisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",450.935169809,Neutral,2–3 times a month,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Quebec,35–44 years,Female,University degree,Employed,"≥ $163,751",865.621065836,Somewhat satisfied,Everyday,No,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,University degree,Employed,"$42,257 – $72,366",2858.657865003,Completely satisfied,A few times a week,No,Yes,No,No,No,Single-person household,Online shopper (≥ $1)
Saskatchewan,25–34 years,Female,University degree,Employed,"$72,367 – $107,480",669.729946121,Somewhat dissatisfied,Once a week,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,45–54 years,Female,High school or less,Employed,"≥ $163,751",1633.375104686,Somewhat satisfied,A few times a week,No,Yes,No,No,No,,Online shopper (≥ $1)
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",771.036901654,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"≤ $42,256",7245.461213597,Completely satisfied,Everyday,No,No,Yes,No,No,,Online shopper (≥ $1)
Alberta,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",1052.216920025,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Not employed,"$107,481 – $163,750",1759.787687905,Completely satisfied,2–3 times a month,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,High school or less,Not employed,"≥ $163,751",422.204764589,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",651.510032064,Somewhat satisfied,Once a week,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,55–64 years,Female,University degree,Employed,"$72,367 – $107,480",1084.515959513,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",662.147309897,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Male,High school or less,Employed,"$107,481 – $163,750",729.308156083,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"≥ $163,751",795.635082448,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,55–64 years,Female,High school or less,Employed,"≤ $42,256",294.665078582,Completely satisfied,A few times a week,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Ontario,55–64 years,Male,High school or less,Employed,"≥ $163,751",2126.914638797,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,45–54 years,Male,High school or less,Employed,"$72,367 – $107,480",1809.852237215,Somewhat satisfied,Everyday,Yes,Yes,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Quebec,45–54 years,Male,University degree,Employed,"$72,367 – $107,480",859.268653167,Neutral,Everyday,Yes,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",270.299028801,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,University degree,Employed,"$42,257 – $72,366",893.366433882,,,,,,Yes,Yes,Single-person household,Online shopper (≥ $1)
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",943.248632715,Neutral,Everyday,No,No,No,Yes,Yes,Single-person household,Did not shop online
Quebec,35–44 years,Female,High school or less,Employed,"$72,367 – $107,480",767.641301537,Completely satisfied,A few times a week,No,No,No,No,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,35–44 years,Male,High school or less,Employed,"$72,367 – $107,480",901.766728723,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,45–54 years,Male,High school or less,Employed,"$107,481 – $163,750",781.112378796,,Everyday,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Newfoundland and Labrador,55–64 years,Female,High school or less,Not employed,"≤ $42,256",465.311858721,Completely dissatisfied,2–3 times a month,No,No,No,No,No,Single-person household,Did not shop online
Prince Edward Island,55–64 years,Female,University degree,Not employed,"$72,367 – $107,480",60.448478077,Completely satisfied,Everyday,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
